Feature Type,Feature Name,Separation Score,Min Value,Max Value,Mean Value,Std Dev
morphological,particle_δέ_freq,0.877615,0.00000000,0.00716648,0.00202260,0.00168572
phonetic,cluster_νθ_freq,0.785793,0.00000000,0.00346470,0.00100842,0.00074928
vocabulary,avg_word_freq,0.781348,1.64800613,17.58797185,4.20389994,3.10518952
morphological,particle_τε_freq,0.767574,0.00000000,0.02067736,0.00588416,0.00426650
phonetic,cluster_κτ_freq,0.714582,0.00025586,0.00517962,0.00123676,0.00083222
phonetic,cluster_χθ_freq,0.711962,0.00004316,0.00114065,0.00039247,0.00026308
phonetic,cluster_πτ_freq,0.595807,0.00009701,0.00210582,0.00083338,0.00046331
word_lengths,length_15_freq,0.594357,0.00000000,0.00457666,0.00180558,0.00100121
morphological,dative_pl_freq,0.588631,0.00000000,0.03642470,0.01724723,0.00946651
morphological,accusative_sg_fem_freq,0.570615,0.00123681,0.02106870,0.00967123,0.00513669
phonetic,cluster_σπ_freq,0.567383,0.00000000,0.00177484,0.00078296,0.00041336
vocabulary,hapax_ratio,0.561738,0.01753365,0.48511577,0.22639155,0.11826430
phonetic,diphthong_αυ_freq,0.552311,0.00000000,0.00186335,0.00076603,0.00039305
phonetic,cluster_σκ_freq,0.516435,0.00000000,0.00195139,0.00096552,0.00046130
word_lengths,length_14_freq,0.515212,0.00021826,0.00676289,0.00349763,0.00166688
morphological,genitive_sg_masc_freq,0.496522,0.00110254,0.07639142,0.03363467,0.01541033
vocabulary,ttr,0.469783,0.05685704,0.60679386,0.31985694,0.13812627
word_lengths,length_1_freq,0.453777,0.01542837,0.08861404,0.03853200,0.01603222
morphological,aorist_3sg_freq,0.442043,0.01601831,0.09725454,0.04114928,0.01664573
phonetic,cluster_μπ_freq,0.440101,0.00000000,0.00103263,0.00053483,0.00021533
phonetic,cluster_στ_freq,0.432367,0.00000000,0.01476557,0.00659280,0.00260411
vocabulary,dis_ratio,0.424134,0.00865769,0.08469055,0.04165550,0.01611589
word_lengths,length_13_freq,0.423808,0.00055127,0.01397446,0.00765609,0.00295957
morphological,present_3sg_freq,0.391284,0.00782103,0.03714043,0.01609193,0.00570518
morphological,accusative_pl_freq,0.379279,0.00000000,0.05006186,0.03054117,0.01046693
morphological,genitive_sg_fem_freq,0.375883,0.00000000,0.06794110,0.04456930,0.01512552
phonetic,diphthong_ευ_freq,0.370294,0.00046584,0.00195181,0.00116565,0.00038917
phonetic,diphthong_οι_freq,0.339999,0.00352479,0.01319876,0.00648657,0.00197214
word_lengths,length_12_freq,0.338217,0.00220507,0.02078351,0.01301622,0.00393455
morphological,nominative_pl_freq,0.328537,0.02871287,0.09746110,0.04819116,0.01410788
morphological,infinitive_freq,0.326349,0.02000931,0.07416826,0.04642763,0.01349154
morphological,genitive_pl_freq,0.325498,0.02205072,0.07659096,0.05296777,0.01534768
word_lengths,length_11_freq,0.281565,0.00839054,0.03168317,0.02231778,0.00550119
phonetic,diphthong_αι_freq,0.281419,0.00447486,0.01411490,0.00871700,0.00214743
morphological,participle_nom_sg_freq,0.270511,0.01568129,0.04491979,0.02861439,0.00674177
word_lengths,length_7_freq,0.265078,0.04576659,0.15397215,0.08083756,0.01861347
morphological,accusative_sg_masc_freq,0.263640,0.01146601,0.06504961,0.04478949,0.01024971
phonetic,vowel_η_freq,0.256469,0.00570789,0.01727570,0.01344523,0.00298189
phonetic,diphthong_ου_freq,0.252088,0.00201455,0.01023197,0.00727302,0.00158163
word_lengths,length_9_freq,0.245669,0.01636959,0.07052441,0.05387972,0.01137646
phonetic,cluster_ντ_freq,0.240924,0.00269687,0.00994178,0.00667071,0.00137732
word_lengths,length_10_freq,0.233200,0.01296720,0.04908292,0.03655022,0.00726863
word_lengths,length_2_freq,0.213456,0.11521499,0.24485126,0.14631210,0.02625193
word_lengths,length_5_freq,0.210388,0.07686431,0.17530320,0.11438346,0.02017757
vocabulary,top10_ratio,0.202023,0.13913448,0.27551903,0.19749961,0.03321262
phonetic,diphthong_ει_freq,0.195981,0.00543478,0.00989404,0.00709939,0.00115164
word_lengths,length_6_freq,0.187884,0.06784791,0.13836825,0.09473442,0.01461205
phonetic,vowel_ω_freq,0.185802,0.00984641,0.01751884,0.01278191,0.00194531
word_lengths,length_3_freq,0.184882,0.12843183,0.28221171,0.20779080,0.03143592
morphological,dative_sg_freq,0.183453,0.06933457,0.14197923,0.10608862,0.01590046
word_lengths,length_8_freq,0.173861,0.04070571,0.09750446,0.07322113,0.01028273
word_lengths,length_4_freq,0.169278,0.06331045,0.15144312,0.10448409,0.01420154
phonetic,vowel_υ_freq,0.168391,0.01281989,0.02375236,0.01642738,0.00221848
phonetic,vowel_ι_freq,0.152325,0.03764148,0.06226708,0.04819529,0.00574616
phonetic,vowel_α_freq,0.121589,0.05764411,0.08757764,0.07349344,0.00653798
phonetic,vowel_ε_freq,0.114338,0.04658385,0.06717421,0.05386098,0.00440687
phonetic,vowel_ο_freq,0.094335,0.05557696,0.07454525,0.06644761,0.00412783
word_lengths,avg_length,0.089687,4.06005820,5.48918792,5.10855498,0.29397228
word_lengths,std_length,0.085355,2.37784325,3.15485544,2.85224782,0.15196564
phonetic,vowel_ratio,0.057862,0.32167080,0.36853976,0.35156518,0.00921290
